source_file,sheet,fund_code,fund_desc,resp1_code,resp1_desc,resp2_code,resp2_desc,item_group_code,item_group_desc,item_code,item_desc,order_no,order_seq,gl_account,vendor,unpaid_grvs,post_dated_payments,commitments_balance,report_date
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,PREMIER SUPPORT STAFF,R004,PREMIER SUPPORT STAFF,I003,GOODS AND SERVICES,I004,CATERING:DEPARTMENTL ACTIVIT,,,,HARVEY WORLD TRAVEL E,0.0,0.0,4240.0,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,PREMIER SUPPORT STAFF,R004,PREMIER SUPPORT STAFF,I003,GOODS AND SERVICES,I006,T&S DOM:ACCOMMODATION,,,,HARVEY WORLD TRAVEL E,0.0,0.0,385457.6,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,PREMIER SUPPORT STAFF,R004,PREMIER SUPPORT STAFF,I003,GOODS AND SERVICES,I007,T&S DOM:CAR RENTAL,,,,HARVEY WORLD TRAVEL E,0.0,0.0,224836.44,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,PREMIER SUPPORT STAFF,R004,PREMIER SUPPORT STAFF,I003,GOODS AND SERVICES,I007,T&S DOM:AIR TRANSPORT,,,,HARVEY WORLD TRAVEL E,0.0,0.0,54530.02,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,OFFICE OF THE DIRECTOR GENERAL,R004,OFFICE OF THE DIRECTOR GENERAL,I003,GOODS AND SERVICES,I006,T&S DOM:ACCOMMODATION,,,,HARVEY WORLD TRAVEL E,0.0,0.0,171000.0,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,OFFICE OF THE DIRECTOR GENERAL,R004,OFFICE OF THE DIRECTOR GENERAL,I003,GOODS AND SERVICES,I007,T&S DOM:CAR RENTAL,,,,HARVEY WORLD TRAVEL E,0.0,0.0,6610.0,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,OFFICE OF THE DIRECTOR GENERAL,R004,OFFICE OF THE DIRECTOR GENERAL,I003,GOODS AND SERVICES,I007,T&S DOM:AIR TRANSPORT,,,,HARVEY WORLD TRAVEL E,0.0,0.0,9791.12,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,OFFICE OF THE DIRECTOR GENERAL,R004,INTERNAL AUDIT,I003,GOODS AND SERVICES,I006,T&S DOM:ACCOMMODATION,,,,HARVEY WORLD TRAVEL E,0.0,0.0,150000.0,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,FINANCIAL MANAGEMENT,R004,FINANCIAL ACCOUNTING,I003,GOODS AND SERVICES,I006,AUDIT FEES:EXT PREVIOUS YEAR,,,,AUDITOR GENERAL,0.0,0.0,3759103.69,2026-05-19
COM19.05.26.xlsx,PROG 1,F002,DEPARTMENTAL APPROPRIATION,R003,FINANCIAL MANAGEMENT,R004,FINANCIAL ACCOUNTING,I003,GOODS AND SERVICES,I006,T&S DOM:ACCOMMODATION,,,,HARVEY WORLD TRAVEL E,0.0,0.0,60615.0,2026-05-19
